id|common_name|sci_name|pict_url|date_obs|latitude|longitude|precision|continent|country|state_region|code_country|url
1580177|Jaffueliobryum raui|||27/05/2015|0.0|0.0|Not recorded|||||https://www.inaturalist.org/observations/1580177
1580178|Steppe Screw-Moss|Syntrichia caninervis||27/05/2015|37.718596|-111.634644|10m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580178
1580179|Silvery Bryum|Bryum argenteum||27/05/2015|37.718696|-111.634757|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580179
1580180|Common Extinguisher-Moss|Encalypta vulgaris||27/05/2015|37.720967|-111.64921|10m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580180
1580181|Ribbed Candlesnuffer Moss|Encalypta rhaptocarpa||27/05/2015|37.723059|-111.650461|10m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580181
1580182|Didymodon rigidulus ssp. gracilis|||27/05/2015|37.722899|-111.650646|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580182
1580183|Fendler's Brachythecium Moss|Brachythecium fendleri||27/05/2015|0.0|0.0|Not recorded|||||https://www.inaturalist.org/observations/1580183
1580184|Pseudoleskeella tectorum|||27/05/2015|37.723003|-111.650684|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580184
1580185|Steppe Screw-Moss|Syntrichia caninervis||27/05/2015|37.723059|-111.650461|Not recorded|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580185
1580186|Syntrichia papillosissima|||27/05/2015|37.723004|-111.650619|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580186
1580187|Rim Lichens, Disc Lichens, and Allies|Family Lecanoraceae||27/05/2015|37.723766|-111.651458|10m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580187
1580188|Genus Crossidium|||27/05/2015|37.723499|-111.651611|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580188
1580189|Silvery Bryum|Bryum argenteum||27/05/2015|37.724547|-111.650903|Not recorded|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580189
1580190|Steppe Screw-Moss|Syntrichia caninervis||27/05/2015|37.724539|-111.651094|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580190
1580191|Toothless Grimmia|Grimmia anodon||27/05/2015|37.724583|-111.651072|Not recorded|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580191
1580192|Tufted Thread-Moss|Ptychostomum imbricatulum||27/05/2015|37.724554|-111.651029|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580192
1580193|Tufted Thread-Moss|Ptychostomum imbricatulum||27/05/2015|37.724499|-111.651131|10m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580193
1580194|Genus Tortula|||27/05/2015|37.724547|-111.650903|Not recorded|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580194
1580195|Wavy-leafed Soap Plant|Chlorogalum pomeridianum|https://inaturalist-open-data.s3.amazonaws.com/photos/1951842/large.jpg|01/06/2015|38.358949|-122.592584|16m|North America|United States|California|US|https://www.inaturalist.org/observations/1580195
1580196|Genus Schistidium|||27/05/2015|37.724874|-111.653806|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580196
1580197|Silvery Bryum|Bryum argenteum||27/05/2015|37.723431|-111.65159|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580197
1580198|Green-tufted Stubble Moss|Weissia controversa||27/05/2015|37.724846|-111.653939|50m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580198
1580199|Silvery Bryum|Bryum argenteum||27/05/2015|37.724908|-111.653819|5m|North America|United States|Utah|US|https://www.inaturalist.org/observations/1580199
